name,styleUrl,fill-opacity,fill,stroke-opacity,stroke,stroke-width,icon-offset,icon-offset-units,icon,latitude,longitude
78,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.9755621513893,23.72145565905138
79,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97550401620338,23.72144799798046
80,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97294505067896,23.72146781330292
82,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97419254361396,23.72382798543585
83,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.9733779424908,23.72456097244464
84,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97300376971412,23.72408056380457
85,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97341589115553,23.72296216361777
86,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97389944428514,23.72362475759935
87,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97406153545603,23.72278788502599
88,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97396161873164,23.72185905448201
90,#__managed_style_0DBBD3A04338E3725A94,0.25098039215686274,#ffffff,1,#fbc02d,2,"64,128","pixels,insetPixels",https://earth.google.com/earth/document/icon?color=1976d2&id=2000&scale=4,37.97387815090161,23.72135361776553
